"DATE.TIME,""hour"",""day"",""lab"",""analyzer"",""CO2_in"",""CO2_S"",""CO2_N"",""CH4_in"",""CH4_S"",""CH4_N"",""NH3_in"",""NH3_S"",""NH3_N"",""H2O_in"",""H2O_S"",""H2O_N"",""n_animals"",""m_weight"",""p_pregnancy_day"",""Y1_milk_prod"",""Temperature"""
"2025-04-09 10:00:00,10,2025-04-09,""LUFA"",""FTIR.2"",531.325,418.7,431.85,13.775,2.95,3.65,1.55,0.8,0.85,0.7775,0.725,0.74,44.5,545.1818182,119.5510204,30.91034483,18.5175"
"2025-04-09 11:00:00,11,2025-04-09,""LUFA"",""FTIR.2"",511.875,416.9,420.65,12.775,4.1,3.55,1.575,0.7,0.9,0.7075,0.63,0.645,47.25,545.1818182,119.5510204,30.91034483,17.63833333"
"2025-04-09 12:00:00,12,2025-04-09,""LUFA"",""FTIR.2"",509.35,414.433333333333,417.05,12.125,3.4,3.3,1.55,0.766666666666667,0.85,0.65,0.59,0.585,48.75,545.1818182,119.5510204,30.91034483,17.0975"
"2025-04-09 13:00:00,13,2025-04-09,""LUFA"",""FTIR.2"",506.25,416.3,419.35,11.875,3.85,3.6,1.45,0.85,0.9,0.665,0.59,0.61,46.75,545.1818182,119.5510204,30.91034483,15.97083333"
"2025-04-09 14:00:00,14,2025-04-09,""LUFA"",""FTIR.2"",495.175,410.85,412.85,11.275,3.35,3.05,1.7,0.95,0.9,0.6575,0.6,0.6,42.25,545.1818182,119.5510204,30.91034483,15.15083333"
"2025-04-09 15:00:00,15,2025-04-09,""LUFA"",""FTIR.2"",509.525,413.85,428.6,12.375,3.35,4.5,1.5,0.8,1,0.6675,0.605,0.615,42.25,545.1818182,119.5510204,30.91034483,14.99666667"
"2025-04-09 16:00:00,16,2025-04-09,""LUFA"",""FTIR.2"",507.95,411.35,429.4,11.8,2.9,4.9,1.5,1,0.9,0.6875,0.645,0.64,43.5,545.1818182,119.5510204,30.91034483,13.51416667"
"2025-04-09 17:00:00,17,2025-04-09,""LUFA"",""FTIR.2"",524.575,414.7,422.2,13.725,3.25,4.25,1.4,0.8,0.8,0.715,0.66,0.665,46.25,545.1818182,119.5510204,30.91034483,12.0975"
"2025-04-09 18:00:00,18,2025-04-09,""LUFA"",""FTIR.2"",534.35,418.45,417.85,14.375,3.6,3.8,1.5,0.8,0.85,0.725,0.67,0.675,46.75,545.1818182,119.5510204,30.91034483,10.41083333"
"2025-04-09 19:00:00,19,2025-04-09,""LUFA"",""FTIR.2"",560.25,415.85,425.2,16.55,3.25,4.45,1.65,0.95,0.9,0.7375,0.68,0.675,45.75,545.1818182,119.5510204,30.91034483,8.985"
"2025-04-09 20:00:00,20,2025-04-09,""LUFA"",""FTIR.2"",533.45,414.05,429.35,13.925,2.85,4.65,1.6,0.9,0.7,0.76,0.73,0.72,47.5,545.1818182,119.5510204,30.91034483,7.58"
"2025-04-09 21:00:00,21,2025-04-09,""LUFA"",""FTIR.2"",523.35,413.65,425.45,13.35,3.45,4.35,1.475,0.8,0.75,0.795,0.755,0.76,47.75,545.1818182,119.5510204,30.91034483,6.568333333"
"2025-04-09 22:00:00,22,2025-04-09,""LUFA"",""FTIR.2"",523.4,413.6,432.45,12.475,2.7,4.95,1.4,0.85,0.95,0.775,0.735,0.74,48.25,545.1818182,119.5510204,30.91034483,5.710833333"
"2025-04-09 23:00:00,23,2025-04-09,""LUFA"",""FTIR.2"",514.175,415.8,445.95,11.6,2.75,6.05,1.4,0.7,0.85,0.7575,0.72,0.725,49.5,545.1818182,119.5510204,30.91034483,5.425"
"2025-04-10 00:00:00,0,2025-04-10,""LUFA"",""FTIR.2"",548.975,422.9,456.95,14.2,3.15,6.4,1.375,0.85,0.9,0.75,0.71,0.72,56.6,545.1818182,119.5510204,31.315,4.9"
"2025-04-10 01:00:00,1,2025-04-10,""LUFA"",""FTIR.2"",524.025,422.05,446.7,11.875,3,5.55,1.275,0.65,0.9,0.75,0.725,0.725,56.75,545.1818182,119.5510204,31.315,5.066666667"
"2025-04-10 02:00:00,2,2025-04-10,""LUFA"",""FTIR.2"",513.05,423.1,457.25,10.825,2.95,6.15,1.2,0.75,0.9,0.75,0.72,0.73,56.75,545.1818182,119.5510204,31.315,5.486666667"
"2025-04-10 03:00:00,3,2025-04-10,""LUFA"",""FTIR.2"",532.425,421.45,448,12.45,2.85,5.4,1.35,0.7,0.8,0.76,0.735,0.735,57.25,545.1818182,119.5510204,31.315,5.5825"
"2025-04-10 04:00:00,4,2025-04-10,""LUFA"",""FTIR.2"",533.625,420.7,443.8,13.15,2.8,5.45,1.45,0.85,0.75,0.775,0.75,0.75,51.25,545.1818182,119.5510204,31.315,5.5675"
"2025-04-10 05:00:00,5,2025-04-10,""LUFA"",""FTIR.2"",556.95,420.5,432.85,16.225,3.1,4.85,1.75,0.75,0.75,0.79,0.75,0.755,52.25,545.1818182,119.5510204,31.315,6.015833333"
"2025-04-10 06:00:00,6,2025-04-10,""LUFA"",""FTIR.2"",580.625,421.2,445.3,18.175,3.55,5.9,1.525,0.9,0.8,0.795,0.76,0.76,52.25,545.1818182,119.5510204,31.315,6.741666667"
"2025-04-10 07:00:00,7,2025-04-10,""LUFA"",""FTIR.2"",568.525,420.3,437.65,16.55,3,5,1.45,0.85,0.9,0.7925,0.745,0.755,51.75,545.1818182,119.5510204,31.315,7.99"
"2025-04-10 08:00:00,8,2025-04-10,""LUFA"",""FTIR.2"",536.675,417.35,441.4,14.125,2.8,5.3,1.45,0.7,1,0.765,0.725,0.73,52.75,545.1818182,119.5510204,31.315,8.808333333"
"2025-04-10 09:00:00,9,2025-04-10,""LUFA"",""FTIR.2"",541.875,417.2,422.45,14.35,2.85,3.5,1.525,0.75,0.75,0.7675,0.72,0.725,46.5,545.1818182,119.5510204,31.315,10.09666667"
"2025-04-10 10:00:00,10,2025-04-10,""LUFA"",""FTIR.2"",515.175,416.7,425.25,12.325,3.15,3.9,1.475,0.7,0.85,0.7675,0.735,0.73,46,545.1818182,119.5510204,31.315,13.65166667"
"2025-04-10 11:00:00,11,2025-04-10,""LUFA"",""FTIR.2"",518.7,420.3,435.8,13.675,3.3,5.2,1.625,0.85,0.95,0.7825,0.75,0.755,47.25,545.1818182,119.5510204,31.315,14.71083333"
"2025-04-10 12:00:00,12,2025-04-10,""LUFA"",""FTIR.2"",495.375,412.65,428.7,10.875,3.05,4.35,1.5,0.7,0.95,0.795,0.76,0.755,45.25,545.1818182,119.5510204,31.315,16.03083333"
"2025-04-10 13:00:00,13,2025-04-10,""LUFA"",""FTIR.2"",513.925,411.35,436.2,12.95,2.7,5.3,1.55,0.7,1,0.8075,0.77,0.775,49.75,545.1818182,119.5510204,31.315,16.76166667"
"2025-04-10 14:00:00,14,2025-04-10,""LUFA"",""FTIR.2"",496.7,410,431.5,11.425,2.9,4.85,1.45,0.7,0.9,0.8175,0.775,0.785,47,545.1818182,119.5510204,31.315,15.39166667"
"2025-04-10 15:00:00,15,2025-04-10,""LUFA"",""FTIR.2"",488.8,408.35,425.1,10.85,2.95,4.4,1.7,0.8,1.15,0.825,0.79,0.795,49.5,545.1818182,119.5510204,31.315,16.50583333"
"2025-04-10 16:00:00,16,2025-04-10,""LUFA"",""FTIR.2"",494.425,408.7,422.4,11.25,3.05,4.25,1.675,0.85,0.85,0.835,0.8,0.8,48.5,545.1818182,119.5510204,31.315,15.40583333"
"2025-04-10 17:00:00,17,2025-04-10,""LUFA"",""FTIR.2"",501.625,407.75,428.4,11.725,2.75,4.8,1.8,0.8,1,0.8325,0.785,0.795,48.5,545.1818182,119.5510204,31.315,12.99083333"
"2025-04-10 18:00:00,18,2025-04-10,""LUFA"",""FTIR.2"",535.975,409.9,441.95,15.775,2.85,5.9,1.8,0.9,1.05,0.825,0.765,0.785,50,545.1818182,119.5510204,31.315,10.65166667"
"2025-04-10 19:00:00,19,2025-04-10,""LUFA"",""FTIR.2"",514.375,412.05,444.2,11.975,2.7,5.65,1.425,0.75,1,0.805,0.78,0.785,53,545.1818182,119.5510204,31.315,8.799166667"
"2025-04-10 20:00:00,20,2025-04-10,""LUFA"",""FTIR.2"",506.575,414.95,442.3,10.975,2.7,5.2,1.325,0.8,1,0.8125,0.78,0.785,50.25,545.1818182,119.5510204,31.315,7.319166667"
"2025-04-10 21:00:00,21,2025-04-10,""LUFA"",""FTIR.2"",481.9,415.1,436.75,8.55,3.05,4.6,1.275,0.9,1.05,0.79,0.765,0.775,49.25,545.1818182,119.5510204,31.315,7.268333333"
"2025-04-10 22:00:00,22,2025-04-10,""LUFA"",""FTIR.2"",453.575,415.2,435.3,5.925,3,4.3,1.275,0.9,0.9,0.77,0.755,0.76,50.25,545.1818182,119.5510204,31.315,7.165"
"2025-04-10 23:00:00,23,2025-04-10,""LUFA"",""FTIR.2"",449.75,414.35,432.5,5.7,3,4.15,1.225,0.75,0.85,0.76,0.75,0.75,49,545.1818182,119.5510204,31.315,7.190833333"
"2025-04-11 00:00:00,0,2025-04-11,""LUFA"",""FTIR.2"",462.225,414.9,436.9,6.675,3.15,4.4,1.175,0.85,0.85,0.76,0.75,0.75,49,545.1818182,119.5510204,31.21864407,6.895833333"
"2025-04-11 01:00:00,1,2025-04-11,""LUFA"",""FTIR.2"",473.8,415.95,442.7,7.775,3.1,4.9,1.275,0.7,0.75,0.7775,0.765,0.765,47.4,545.1818182,119.5510204,31.21864407,6.143333333"
"2025-04-11 02:00:00,2,2025-04-11,""LUFA"",""FTIR.2"",475.75,415.7,436.7,7.925,2.8,4.6,1.325,0.75,0.8,0.7925,0.775,0.78,48.75,545.1818182,119.5510204,31.21864407,5.969166667"
"2025-04-11 03:00:00,3,2025-04-11,""LUFA"",""FTIR.2"",478.125,413.75,430.85,8.175,2.85,4.3,1.325,0.75,0.9,0.76,0.73,0.735,50.75,545.1818182,119.5510204,31.21864407,6.251666667"
"2025-04-11 04:00:00,4,2025-04-11,""LUFA"",""FTIR.2"",489.775,415.6,433.45,8.75,2.7,4.3,1.25,0.7,0.75,0.745,0.725,0.725,54,545.1818182,119.5510204,31.21864407,6.549166667"
"2025-04-11 05:00:00,5,2025-04-11,""LUFA"",""FTIR.2"",500.9,415.4,431.05,10.65,3,4.2,1.4,0.7,0.85,0.755,0.735,0.735,51,545.1818182,119.5510204,31.21864407,7.038333333"
"2025-04-11 06:00:00,6,2025-04-11,""LUFA"",""FTIR.2"",514.825,415,440.9,12.6,2.75,5.25,1.525,0.9,0.9,0.77,0.745,0.75,51.5,545.1818182,119.5510204,31.21864407,8.2375"
"2025-04-11 07:00:00,7,2025-04-11,""LUFA"",""FTIR.2"",512.675,413.6,434.75,12.575,2.8,4.9,1.3,0.7,0.95,0.7825,0.765,0.76,52.5,545.1818182,119.5510204,31.21864407,11.62166667"
"2025-04-11 08:00:00,8,2025-04-11,""LUFA"",""FTIR.2"",497.725,412.65,430.9,11.025,2.8,4.7,1.375,0.85,0.95,0.7975,0.78,0.775,53,545.1818182,119.5510204,31.21864407,14.85916667"
"2025-04-11 09:00:00,9,2025-04-11,""LUFA"",""FTIR.2"",486.95,410.2,425.85,9.95,2.75,4.35,1.425,0.8,0.95,0.8175,0.79,0.79,48.5,545.1818182,119.5510204,31.21864407,15.85666667"
"2025-04-11 10:00:00,10,2025-04-11,""LUFA"",""FTIR.2"",491.575,408.2,426.3,12.6,2.9,4.6,1.625,0.65,1.05,0.8275,0.8,0.8,45.5,545.1818182,119.5510204,31.21864407,12.95166667"
"2025-04-11 11:00:00,11,2025-04-11,""LUFA"",""FTIR.2"",508.15,407.55,426.8,13.825,3.1,5,1.7,0.7,1,0.835,0.795,0.8,46,545.1818182,119.5510204,31.21864407,12.64833333"
